Photometry of Phase I galaxies,,,,,,,,,,,,,,,,,19.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,< slope,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.704329435,< zero,,,,,
,,,,,,,,,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.75,< avg color,,,15.5,#REF!
,,,,,2MASS,,,,,,UKIDSS 10,,,,,,,,,,,,,,,,,,,Coords for 2MASS/WISE input,,,,,,,Decimal coords,,WISE extraction,,,,,,,,,,,,,,Fill in gaps in log lambda,,,,,,,,,,,Compute J from z,,0.27,0.31,< sigma,,,19.7,#REF!
ID,Name,z,phot'y,Q4,J,err,H,err,K,err,Y,err,J,err,H,err,K,err,u,err,g,err,r,err,i,err,z,err,,h,m,s,d,m,s,<0,ra,dec,name,dist,ra,dec,w1,err,w2,err,w3,err,w4,err,Note,,band,lam,loglam,N,,,,,,,,z,<J>,<J-H>,<J-K>,,,,,
10,J101927.36+022521.4,1.36,UK:2M,Y,16.369,0.099,15.215,0.083,15.114,0.152,17.218,0.014,16.478,0.012,15.500,0.011,15.036,0.011,21.060,0.120,20.464,0.025,19.576,0.019,18.475,0.011,17.991,0.028,,10,19,27.36,#VALUE!,25,21.4,0,154.864000,#VALUE!,J101927.37+022521.4,0.16,154.8640432,2.4226259,14.038,0.027,12.830,0.031,9.501,0.060,6.713,0.105,,,W2,4.603,0.663,10,,,,,,,,18.092,16.560,0.143,0.643,,,,,
11,J102036.10+602338.9,0.99,  :2M,Y,16.557,0.152,15.596,,15.398,0.183,,,,,,,,,20.705,0.074,19.926,0.017,18.593,0.009,18.254,0.010,17.946,0.025,,10,20,36.10,#VALUE!,23,38.9,0,155.150417,#VALUE!,J102036.09+602338.9,0.08,155.150397,60.3941595,14.019,0.026,12.626,0.024,9.564,0.035,7.155,0.104,,,W3,11.561,1.063,11,,,,,,,,18.910,17.105,0.478,0.781,,,,,
12,J105748.63+610910.8,1.28,  :  ,Y,,,,,,,,,,,,,,,20.930,0.110,20.477,0.025,19.579,0.020,19.391,0.024,19.500,0.120,,10,57,48.63,#VALUE!,9,10.8,0,164.452625,#VALUE!,J105748.62+610910.3,0.49,164.4525928,61.1528661,15.078,0.033,14.011,0.036,11.016,0.112,9.153,0.536,,,W4,22.088,1.344,12,,,,,,,,18.520,16.741,-0.054,0.209,,,,,
13,J112526.12+002901.3,0.86,UK:2M,,16.513,0.138,16.318,,15.362,0.209,17.225,0.020,16.258,0.016,16.146,0.025,15.489,0.022,19.046,0.029,18.873,0.009,18.102,0.007,17.892,0.008,17.829,0.020,,11,25,26.12,#VALUE!,29,1.3,0,171.358833,#VALUE!,J112526.12+002901.3,0.08,171.3588523,0.483707,14.300,0.030,13.129,0.029,10.456,0.078,7.495,0.136,,,,,,,,,,,,,,17.465,16.115,0.658,0.937,,,,,
14,J112828.31+011337.9,0.89,UK:2M,,16.570,0.148,16.280,0.210,15.929,,17.434,0.016,16.550,0.020,16.554,0.030,15.905,0.025,19.904,0.033,19.568,0.013,18.595,0.010,18.359,0.010,18.092,0.023,,11,28,28.31,#VALUE!,13,37.9,0,172.117958,#VALUE!,J112828.30+011337.8,0.05,172.1179483,1.2271825,14.653,0.032,13.563,0.033,10.592,0.106,8.337,0.376,,,,,,,,,,,,,,18.816,17.060,0.224,0.756,,,,,
15,J112901.71+050617.0,1.29,UK:  ,,,,,,,,17.789,0.019,17.105,0.017,16.149,0.021,15.542,0.021,23.370,0.510,21.142,0.035,19.637,0.016,19.395,0.016,18.910,0.040,,11,29,1.71,#VALUE!,6,17.0,0,172.257125,#VALUE!,J112901.70+050616.9,0.07,172.2571248,5.1047022,14.692,0.033,13.807,0.039,11.699,0.336,8.387,,,,,,,,,,,,,,,18.550,17.589,0.417,0.802,,,,,
16,J114556.26+110018.4,0.92,UK:  ,,,,,,,,17.799,0.019,16.741,0.013,16.848,0.034,16.323,0.038,19.910,0.050,19.300,0.013,18.937,0.013,18.801,0.017,18.520,0.040,,11,45,56.26,#VALUE!,0,18.4,0,176.484417,#VALUE!,J114556.26+110018.3,0.10,176.4844341,11.0050885,15.214,0.038,14.302,0.048,11.550,0.217,8.035,,,,,,,,,,,,,,,18.820,17.656,0.619,0.735,,,,,
17,J115436.60+030006.3,1.39,UK:2M,,16.050,0.108,15.416,0.107,15.228,0.191,16.780,0.010,16.180,0.011,15.497,0.012,15.129,0.013,21.930,0.210,20.256,0.023,20.290,0.030,17.735,0.011,17.465,0.018,,11,54,36.60,#VALUE!,0,6.3,0,178.652500,#VALUE!,J115436.60+030006.3,0.14,178.6525331,3.0017692,13.865,0.026,12.408,0.025,9.292,0.035,7.256,0.146,,,,,,,,,,,,,,18.480,16.680,0.049,0.426,,,,,
18,J115852.86-004302.0,0.98,  :2M,,17.060,0.173,16.612,0.269,15.549,0.225,,,,,,,,,21.621,0.149,20.507,0.025,19.677,0.017,19.336,0.016,18.816,0.034,,11,58,52.86,0,43,2.0,1,179.720250,-0.717222,J115852.87-004302.2,0.38,179.720327,-0.7172945,14.621,0.032,13.597,0.035,10.827,0.135,8.077,0.265,,,,,,,,,,,,,,17.605,15.912,0.504,0.563,,,,,
19,J120049.55+632211.8,0.89,  :  ,,,,,,,,,,,,,,,,20.460,0.080,19.792,0.015,19.276,0.016,18.868,0.019,18.460,0.040,,12,0,49.55,#VALUE!,22,11.8,0,180.206458,#VALUE!,J120049.55+632212.0,0.22,180.2064901,63.3700027,15.113,0.034,14.321,0.042,11.233,0.113,8.237,0.218,,,,,,,,,,,,,,19.720,17.804,0.191,1.009,,,,,
